,super_opeid,name_x,type_x,tier_x,iclevel_x,region_x,barrons,exp_instr_pc_2013,hbcu,ipeds_enrollment_2013,sticker_price_2013,public,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,endowment_pc_2000,exp_instr_2012,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,k_median_nozero_adjusted,staircase_score,upward_mobility_score,downward_mobility_score,shoots_and_ladders,sticker_price_preds,tech_school,social_eliteness_score,UMS_prediction,rejection_rate_preds,LinReg_Predict_UM_Score,upward_mobility_bucket,um_bucket_level,um_bucket_pred_class,LogReg_Predicted_Class,um_bucket_pred_proba_class1,um_bucket_pred_proba_class2,um_bucket_pred_proba_class3,um_bucket_pred_proba_class4,um_bucket_pred_proba_class5,um_bucket_pred_class_knn,KNN_Predicted_Class,um_bucket_pred_proba_knn_class1,um_bucket_pred_proba_knn_class2,um_bucket_pred_proba_knn_class3,um_bucket_pred_proba_knn_class4,um_bucket_pred_proba_knn_class5,RF_Regressor_Predicted_UM_Score,Predicted_RF_Class,RF_Pred_Class1,RF_Pred_Class2,RF_Pred_Class3,RF_Pred_Class4,RF_Pred_Class5,RF_Regressor_Predicted,bang4buck
1853,3527,Tusculum College,2,6,1,3,4,3029.0637,0,1844,22670.0,0,0.339100346,4906.0,934.0,17415.0,0.2775,,7072701,0.002178649,0.098039217,0.002904866,1.9704433999999997,81.280785,1.9704433999999997,0.24630542,0.0,6.6502460999999995,7.8817735,0.0,44134.0782122905,0.11589224,0.5890700445833332,-0.4277409410416667,0.16132910354166652,22670.0,0,0.629128515,0.8217294279262574,0.2775,0.7385642513926025,Below Average,2,3,3,0.11237986316428142,0.13930941712858783,0.6634541394586523,0.08195250330393986,0.0029040769445386767,3,3,0.08,0.28,0.52,0.08,0.04,0.6409665212172154,2,0.012222222222222223,0.7644444444444445,0.20444444444444446,0.016666666666666666,0.0022222222222222222,0.6429935595181823,0.25984563060579324
1854,1050,Tuskegee University,2,6,1,3,4,11172.302,1,2584,19570.0,0,0.438442211,6679.0,920.0,27806.0,0.64889997,,34858570,0.0,0.97040939,0.000405351,3.3573141000000004,18.465229,6.954436299999999,0.0,5.275779200000001,48.441246,17.266188,0.23980816,47150.83798882682,0.38062874999999996,0.97161679375,-0.36394401320833336,0.6076727805416666,19570.0,0,0.461546196,0.8217294279262574,0.64889997,0.875109354220989,Medium,3,2,2,0.21562724611349163,0.37970703472940975,0.28438618392406523,0.11408348994932896,0.006196045283704484,2,2,0.04,0.52,0.24,0.2,0.0,0.9011263097967348,3,0.025555555555555557,0.12555555555555556,0.7844444444444445,0.057777777777777775,0.006666666666666667,0.8903805818175804,0.4964827765712826
1855,3648,Tyler Junior College,1,9,2,3,999,2375.2104,0,11308,3762.0,1,0.154467894,5121.0,,7030.0,,999.35449,31562041,0.010337780999999999,0.19858156,0.054213248,5.4794521,9.2729187,36.354057,7.6923075,3.8988407,22.128557,12.328767,2.8451002,37349.39759036145,0.09534776999999997,0.6248432795833334,-0.5644399575,0.06040332208333343,3762.0,0,0.48219321000000004,0.8217294279262574,0.3297946836375019,0.5338935468513057,Below Average,2,2,2,0.21250173040996984,0.6410758386443073,0.14418429992077506,0.002047141794858597,0.00019098923008894271,2,2,0.16,0.8,0.04,0.0,0.0,0.6096725604994162,2,0.10111111111111111,0.8666666666666667,0.03222222222222222,0.0,0.0,0.6130187562328397,1.6609337575314551
1856,2880,Ulster County Community College,1,9,2,1,999,3796.429,0,3615,4942.0,1,0.248344371,5958.0,,2095.0,,1061.5463,13780966,0.017970797,0.046798952000000005,0.03968551,2.5139666000000003,17.039106,9.2178774,56.703911,5.5865917000000005,3.9106145,2.5139666000000003,2.5139666000000003,24834.193072955048,-0.04987752000000001,0.65048318875,-0.5854398258333333,0.06504336291666668,4942.0,0,0.5388457805,0.8217294279262574,0.27920839289791727,0.5633013770165294,Below Average,2,2,2,0.0790680201057299,0.6628174794147275,0.2565262856504048,0.0014253463424291765,0.00016286848670866053,2,2,0.2,0.6,0.2,0.0,0.0,0.6292185944006049,2,0.03777777777777778,0.8811111111111111,0.0811111111111111,0.0,0.0,0.6313982163449663,1.3162347000202346
1857,3222,Umpqua Community College,1,9,2,4,999,4502.8604,0,2183,4065.0,1,0.153594771,6378.0,,7559.0,,2254.0564,12073984,0.007215007,0.003607504,0.025252525,0.0,14.244186,23.83721,43.604652,1.1627907,7.5581398,0.0,9.5930233,24314.024390243907,0.03620521999999998,0.5767495641666667,-0.5515918720833333,0.025157692083333405,4065.0,0,0.418154032,0.8217294279262574,0.1862055110389888,0.4501549959556576,Below Average,2,2,2,0.3318240517941642,0.5530878650116055,0.11405312889574522,0.0009877911183191275,4.716318016600308e-05,2,2,0.16,0.8,0.04,0.0,0.0,0.5624650490197759,2,0.35555555555555557,0.6133333333333333,0.03,0.0011111111111111111,0.0,0.5695348704997377,1.4188181160311601
1858,1988,"Union College of Barbourville, KY",2,6,1,3,5,4400.957,0,818,22980.0,0,0.34177215200000005,4540.0,,16073.0,0.25839999,,5314116,0.006269591999999999,0.10188088,0.018808777,8.510638199999999,33.333332,0.0,2.8368794999999998,0.70921987,8.510638199999999,46.099292999999996,0.0,41503.267973856215,0.34549065999999995,0.7814816122916668,-0.23293740208333336,0.5485442102083334,22980.0,0,0.49858797050000003,0.8217294279262574,0.25839999,0.6565365546702883,Medium,3,3,3,0.04261993999554259,0.26341043842061385,0.605243740882848,0.08849094944580853,0.00023493125518695416,3,3,0.0,0.2,0.72,0.08,0.0,0.7499203831321872,3,0.022222222222222223,0.11777777777777777,0.85,0.01,0.0,0.758191164296161,0.34007032736800125
1859,2889,"Union College of Schenectady, NY",2,4,1,1,2,18118.9,0,2246,48384.0,0,0.880357143,10454.0,,12111.0,0.62720001,,38749902,0.043314502000000005,0.041902073,0.038135592,13.090909,1.0909091,0.0,11.636364,0.0,30.727271999999996,43.454544,0.0,52173.913043478264,-0.05225659599999993,1.4340631298333335,-0.3011731629166667,1.1328899669166668,48384.0,0,1.30162436,0.8217294279262574,0.62720001,1.4122692426971035,Best,5,5,5,0.00012433423300778413,0.006273802731109441,0.026617953927402484,0.3869145410350221,0.5800693680734582,5,4,0.0,0.0,0.0,0.52,0.48,1.4104476288799708,5,0.0011111111111111111,0.0011111111111111111,0.03333333333333333,0.37333333333333335,0.5911111111111111,1.3965028242222117,0.2963920159212412
1860,2643,Union County College,1,9,2,1,999,3267.4822,0,11969,8400.0,1,0.06785878,9218.0,,3511.0,,261.76917000000003,40839549,0.041478913,0.19641826,0.19861352,0.14164306,22.096317000000003,41.218132000000004,26.912182,4.1076488,3.3994334000000004,2.1246459,0.0,31102.040816326527,0.12555776,0.7200246825,-0.53004219125,0.18998249125,8400.0,0,0.560457029,0.8217294279262574,0.2755058834666671,0.6996049193786031,Medium,3,2,2,0.06758409530027155,0.7210721308615129,0.20248257163632524,0.0048630986339145066,0.003998103567975862,2,2,0.08,0.64,0.28,0.0,0.0,0.689556148361027,2,0.17555555555555555,0.6366666666666667,0.18333333333333332,0.0033333333333333335,0.0011111111111111111,0.691267284976366,0.8571722410714285
1861,3528,Union University,2,6,1,3,3,9130.5459,0,2829,28200.0,0,0.636363636,7369.0,1195.0,18354.0,0.2588,,33798050,0.006160164,0.056981519,0.0041067759999999995,9.0,22.75,16.0,2.0,12.25,8.25,29.75,0.0,48603.35195530726,-0.14925361899999998,0.9223324425,-0.4917551766666667,0.43057726583333333,28200.0,0,0.89013938,0.8217294279262574,0.2588,0.9325934068003877,Medium,3,3,3,0.01689306196658741,0.07182555148962842,0.4593205210663901,0.42309042801889457,0.02887043745849934,3,3,0.0,0.0,0.76,0.24,0.0,0.9237488629216529,3,0.0,0.023333333333333334,0.8844444444444445,0.07555555555555556,0.016666666666666666,0.926792124445751,0.3270682420212766
1862,25593,United Education Institute,3,11,2,4,999,7196.8428,0,2732,,0,0.7004128409999999,4246.0,,22648.0,,,37827000,0.052124646,0.16883853,0.60906518,0.0,16.24041,53.836318999999996,0.0,0.0,29.923273,0.0,0.0,18457.10165825523,0.360788438,0.3902011800416667,-0.8840269833333334,-0.4938258032916667,13764.148466666667,0,0.10721818949999999,0.48172032780755625,0.11063680578916674,0.620518285403199,Worst,1,1,1,0.800557008178569,0.12811726792741016,0.026522929984225483,0.03786832120284076,0.006934472706954602,1,1,0.8,0.16,0.0,0.04,0.0,0.4184500198638418,1,0.6622222222222223,0.25222222222222224,0.0811111111111111,0.0044444444444444444,0.0,0.41837500709208086,0.2834909700274133
